ID,カード種別,カテゴリ,危険度,攻め度,質問,メモ
Q001,質問,もしも,日中向け,soft,明日から1週間だけ仕事も予定も全部なくなったら\nまず何をする？,無料版
Q002,質問,もしも,日中向け,soft,宝くじで3億円当たったら\n誰にも言わずに最初に買うものは？,無料版
Q004,質問,もしも,日中向け,soft,これから一生タダになるなら\n外食・旅行・服・家電のどれがいい？,無料版
Q007,質問,もしも,日中向け,soft,相手と中身が1日入れ替わったら\nまず何を確認する？,無料版
Q031,質問,究極の二択,夜向け,NORMAL,一生ラーメン禁止か一生寿司禁止なら\nどっちがきつい？,無料版
Q034,質問,究極の二択,夜向け,NORMAL,一生旅行に行けない代わりに豪邸か\n家は普通だけど毎月旅行なら\nどっちがいい？,無料版
Q035,質問,究極の二択,夜向け,NORMAL,どれだけ食べても太らない体か\n毎日8時間ぐっすり眠れる体なら\nどっちがほしい？,無料版
Q040,質問,究極の二択,夜向け,NORMAL,喧嘩してもすぐ仲直りする関係か\n喧嘩は少ないけど本音も少ない関係なら\nどっちがいい？,無料版
Q061,質問,暴露,夜向け,NORMAL,今だから言える\n初対面のときの正直な印象は？,無料版
Q065,質問,暴露,夜向け,NORMAL,相手に言われて実はけっこう嬉しかった一言は？,無料版
Q067,質問,暴露,夜向け,NORMAL,付き合う前\n相手のどこを一番見ていた？,無料版
Q091,質問,黒歴史と学生時代,夜向け,NORMAL,学生時代の自分にキャッチコピーをつけるなら何にする？,無料版
Q092,質問,黒歴史と学生時代,夜向け,NORMAL,今思うと一番痛かったファッションは？,無料版
Q096,質問,黒歴史と学生時代,夜向け,NORMAL,修学旅行や遠足で一番覚えている事件は？,無料版
Q121,質問,恋愛の本音,夜向け,NORMAL,付き合う前に一番ドキッとした瞬間は？,無料版
Q122,質問,恋愛の本音,夜向け,NORMAL,相手のどんな仕草を見ると\n今でもいいなと思う？,無料版
Q123,質問,恋愛の本音,夜向け,NORMAL,「好き」って言葉で言われるのと行動で示されるの\nどっちが刺さる？,無料版
Q124,質問,恋愛の本音,夜向け,NORMAL,恋人にされると一番安心することは？,無料版
Q130,質問,恋愛の本音,夜向け,NORMAL,デートで一番大事なのは場所・会話・雰囲気のどれ？,無料版
Q211,質問,デートと旅行,日中向け,soft,今すぐ行けるなら\n日帰りでどこに行きたい？,無料版
Q212,質問,デートと旅行,日中向け,soft,旅行で一番テンションが上がる瞬間は？,無料版
Q216,質問,デートと旅行,日中向け,soft,温泉旅行で一番楽しみにすることは？,無料版
Q217,質問,デートと旅行,日中向け,soft,旅行中に相手のどんな行動を見ると嬉しい？,無料版
Q272,質問,推しとランキング,日中向け,soft,相手の好きなところランキングを作るなら\n1位は？,無料版
Q273,質問,推しとランキング,日中向け,soft,今まで行った場所で楽しかったランキング1位は？,無料版
Q331,質問,相手当てクイズ,日中向け,soft,相手が今一番食べたいもの\n何だと思う？,無料版
M003,ミッション,Mission,夜向け,NORMAL,相手の好きなところを3つ言う,無料版
M028,ミッション,Mission,夜向け,NORMAL,相手の好きなところを\n外見以外で3つ言う,無料版
M034,ミッション,Mission,夜向け,NORMAL,今日の相手を一言で褒める,無料版
M035,ミッション,Mission,夜向け,NORMAL,次のカードまで\nスマホを置く,無料版
